date,price
2017-06-19 22:20:54,2.1
2017-06-19 21:59:31,2.1
2017-06-19 19:48:15,2.1
2017-06-19 19:26:47,2.1
2017-06-19 18:28:01,2.1
2017-06-19 18:04:25,2.1
2017-06-17 01:43:50,2.1
2017-06-17 01:05:31,2.1
2017-06-17 00:32:35,2.0
2017-06-17 00:10:11,2.1
2017-06-16 23:48:23,2.1
2017-06-16 23:24:47,2.1
2017-06-16 23:02:11,2.0
2017-06-16 23:01:53,2.1
2017-06-16 22:40:38,2.0
2017-06-16 22:18:39,2.0
2017-06-16 21:58:39,2.0
2017-06-16 21:56:36,2.1
2017-06-16 21:35:00,2.1
2017-06-16 21:34:27,2.1
2017-06-16 21:12:48,2.1
2017-06-16 21:09:15,2.1
2017-06-16 20:46:34,2.1
2017-06-16 19:22:51,2.0
2017-06-16 19:01:20,2.1
2017-06-16 18:39:20,2.1
2017-06-16 18:09:37,2.1
2017-06-16 17:47:45,2.1
2017-06-16 17:24:47,2.1
2017-06-16 16:19:32,2.1
2017-06-16 00:05:31,2.1
2017-06-15 23:05:53,2.1
2017-06-15 22:02:25,2.1
2017-06-15 21:32:26,2.1
2017-06-15 20:24:52,2.1
2017-06-15 18:55:38,2.1
2017-06-15 17:54:58,2.1
2017-06-15 17:03:26,2.1
2017-06-15 16:18:15,2.1
2017-06-15 15:41:38,2.1
2017-06-15 00:04:28,2.1
2017-06-14 23:20:28,2.1
2017-06-14 19:38:31,2.1
2017-06-14 18:36:15,2.1
2017-06-14 18:04:56,2.1
2017-06-14 17:12:26,2.1
2017-06-14 16:27:07,2.1
2017-06-14 00:36:55,2.1
2017-06-14 00:35:55,2.1
2017-06-14 00:09:38,2.1
2017-06-13 23:44:38,2.1
2017-06-13 23:18:55,2.1
2017-06-13 22:46:53,2.1
2017-06-13 22:24:49,2.1
2017-06-13 22:03:19,2.1
2017-06-13 21:10:38,2.1
2017-06-13 20:49:09,2.1
2017-06-13 20:27:58,2.1
2017-06-13 20:04:49,1.0
2017-06-13 19:42:27,2.1
2017-06-13 18:57:32,2.1
2017-06-13 17:59:58,2.1
2017-06-13 17:28:26,2.1
2017-06-13 16:34:23,2.1
2017-06-12 23:40:38,2.1
2017-06-12 23:40:27,2.1
2017-06-12 23:19:31,2.1
2017-06-12 22:08:24,2.1
2017-06-12 21:28:36,2.1
2017-06-12 21:00:14,2.1
2017-06-12 20:09:06,2.1
2017-06-12 19:47:51,2.0
2017-06-12 19:25:54,2.1
2017-06-12 18:47:20,2.1
2017-06-10 01:20:33,2.1
2017-06-09 23:29:49,2.0
2017-06-09 23:29:15,2.1
2017-06-09 22:42:54,2.1
2017-06-09 22:14:34,2.1
2017-06-09 21:50:50,2.1
2017-06-09 21:28:34,2.1
2017-06-09 21:08:43,2.1
2017-06-09 21:07:44,2.1
2017-06-09 20:43:38,2.2
2017-06-09 19:34:02,2.1
2017-06-09 19:10:34,2.1
2017-06-09 18:54:19,2.1
2017-06-09 18:33:12,2.2
2017-06-09 18:11:32,2.1
2017-06-09 17:49:28,2.1
2017-06-09 15:49:42,2.1
2017-06-09 15:17:37,2.1
2017-06-09 03:15:21,2.1
2017-06-09 01:03:46,2.1
2017-06-08 22:19:54,2.1
2017-06-08 21:54:38,2.1
2017-06-08 21:09:49,2.1
2017-06-08 19:42:29,2.1
2017-06-08 18:09:11,2.1
2017-06-08 17:43:10,2.1
2017-06-08 00:20:49,2.1
2017-06-07 22:55:11,2.1
2017-06-07 21:14:14,2.1
2017-06-07 21:01:07,2.1
2017-06-07 19:06:49,2.1
2017-06-07 18:45:38,2.1
2017-06-07 17:41:04,2.1
2017-06-07 00:27:37,2.1
2017-06-06 23:56:35,2.1
2017-06-06 23:30:46,2.1
2017-06-06 23:09:47,2.1
2017-06-06 23:09:44,2.1
2017-06-06 22:42:27,2.1
2017-06-06 22:41:32,2.1
2017-06-06 22:20:18,2.1
2017-06-06 21:13:30,2.1
2017-06-06 20:16:29,2.1
2017-06-06 15:06:06,2.0
2017-06-06 00:11:25,2.1
2017-06-05 22:28:12,2.1
2017-06-05 22:25:23,2.2
2017-06-05 21:59:34,2.2
2017-06-05 21:38:35,2.1
2017-06-05 21:17:28,2.1
2017-06-05 20:51:54,2.1
2017-06-05 20:41:57,2.1
2017-06-05 19:28:39,2.1
2017-06-05 18:43:55,1.7
2017-06-05 18:23:07,2.1
2017-06-05 17:20:39,2.1
2017-06-03 00:09:41,2.1
2017-06-02 23:48:00,2.1
2017-06-02 23:47:36,2.1
2017-06-02 23:26:31,2.3
2017-06-02 23:05:44,2.3
2017-06-02 22:33:22,2.2
2017-06-02 19:31:21,2.2
2017-06-02 19:10:15,2.2
2017-06-02 18:48:12,2.2
2017-06-02 18:26:22,2.2
2017-06-02 17:59:02,2.2
2017-06-01 23:47:55,2.1
2017-06-01 22:49:06,2.2
2017-06-01 22:24:47,2.1
2017-06-01 22:03:19,2.2
2017-06-01 21:24:10,2.2
2017-06-01 19:01:30,2.1
2017-06-01 18:39:50,2.1
2017-06-01 18:18:08,2.2
2017-06-01 16:02:27,2.1
2017-06-01 00:10:18,2.3
2017-05-31 23:48:24,2.2
2017-05-31 23:14:45,2.2
2017-05-31 22:44:25,2.2
2017-05-31 22:15:22,2.2
2017-05-31 21:50:31,2.2
2017-05-31 21:28:26,2.2
2017-05-31 21:00:21,2.1
2017-05-31 19:34:48,2.1
2017-05-31 19:01:49,2.2
2017-05-31 17:25:37,2.1
2017-05-30 23:27:04,2.1
2017-05-30 22:55:09,2.1
2017-05-30 22:33:44,2.2
2017-05-30 22:11:06,2.1
2017-05-30 22:10:44,2.1
2017-05-30 21:48:46,2.1
2017-05-30 21:05:41,2.1
2017-05-30 21:05:41,2.1
2017-05-30 20:44:30,2.1
2017-05-30 20:11:56,2.1
2017-05-30 18:59:21,2.2
2017-05-30 18:59:08,2.1
2017-05-30 15:15:34,2.1
2017-05-29 22:11:58,2.1
2017-05-29 22:11:52,2.1
2017-05-27 01:42:59,2.1
2017-05-27 01:19:20,2.2
2017-05-27 00:50:42,2.1
2017-05-27 00:30:43,2.1
2017-05-27 00:30:40,2.2
2017-05-27 00:08:38,2.2
2017-05-26 23:45:32,2.1
2017-05-26 23:45:23,2.1
2017-05-26 23:22:50,2.2
2017-05-26 22:41:10,2.2
2017-05-26 22:31:12,2.1
2017-05-26 22:07:38,2.1
2017-05-26 22:05:26,2.1
2017-05-26 21:43:42,2.1
2017-05-26 21:01:38,2.1
2017-05-26 20:19:57,2.2
2017-05-26 19:53:51,2.2
2017-05-26 19:53:46,2.1
2017-05-26 19:31:08,2.1
2017-05-26 19:30:34,2.1
2017-05-26 19:26:30,2.1
2017-05-26 19:03:43,2.1
2017-05-26 18:05:29,2.1
2017-05-26 17:28:03,2.2
2017-05-26 17:27:44,2.1
2017-05-26 01:44:34,2.1
2017-05-26 01:01:37,2.1
2017-05-26 00:32:09,2.1
2017-05-26 00:07:32,2.1
2017-05-25 23:30:32,2.1
2017-05-25 22:58:09,2.1
2017-05-25 22:41:19,1.0
2017-05-25 21:55:00,2.1
2017-05-25 20:43:06,2.1
2017-05-25 20:17:06,2.1
2017-05-25 19:35:56,2.1
2017-05-25 19:13:52,2.1
2017-05-25 18:52:06,2.1
2017-05-25 18:30:56,2.1
2017-05-25 18:07:29,2.1
2017-05-25 17:44:00,2.1
2017-05-25 15:28:17,2.2
2017-05-25 04:31:52,2.1
2017-05-25 01:46:51,2.1
2017-05-25 00:13:50,2.1
2017-05-24 23:28:51,2.1
2017-05-24 22:50:14,2.2
2017-05-24 22:30:18,2.2
